face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,final_status,three_actual_glb_comparison,babylon_actual_glb_comparison,final_static_load_evidence,rotation_evidence,review_note
front,brand/model markings,4,1,4,HUAWEI logo; Huawei flower; RH1288 V3; Intel Xeon,identity labels,both ears,flush printing/label relief,white Huawei text; blue Intel decal,https://info.support.huawei.com/computing/tools/gallery/enterprise/intelligent-server/detail?currentProduct=37&lang=en,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,SM212 GE service ports,4,1,4,GE1 GE2 GE3 GE4,medium,lower physical rear left,recessed RJ45 connector geometry,black RJ45 cavities; silver shells; green/yellow LEDs,qa/reference/user-row11-rear.png,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,management RJ45 port,1,1,1,after FlexIO,medium,lower center-left,recessed RJ45 connector geometry,black cavity; silver shell,https://device.report/m/7009a59d0542b27d0a93809307e88a251b2cc3ea1245bace9872a925196f6af3.pdf,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,USB 3.0 ports,2,1,2,after management,small,lower center,recessed rectangular connector geometry,blue dielectric; silver shell,https://device.report/m/7009a59d0542b27d0a93809307e88a251b2cc3ea1245bace9872a925196f6af3.pdf,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,VGA and serial ports,2,1,2,VGA then serial as seen from rear left-to-right in screenshot source,medium,lower center-right before PSUs,recessed D-sub geometry,blue VGA; turquoise/green serial face; silver shells,qa/reference/user-row11-rear.png,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,UID indicator,1,1,1,before USB/management cluster,tiny,lower center-left,flush lens,blue lens,https://device.report/m/7009a59d0542b27d0a93809307e88a251b2cc3ea1245bace9872a925196f6af3.pdf,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,PCIe blank covers,2,1,2,full-height slot 1; half-height slot 2,large,upper left and upper center,separate recessed perforated sheet-metal geometry,silver galvanized perforated metal,https://device.report/m/7009a59d0542b27d0a93809307e88a251b2cc3ea1245bace9872a925196f6af3.pdf,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,AC PSU modules,2,1,2,PSU1; PSU2,large,physical rear right,separate hot-swap blocks with handle protrusion,silver metal; black fan/inlet; lime release,https://device.report/m/7009a59d0542b27d0a93809307e88a251b2cc3ea1245bace9872a925196f6af3.pdf,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,PSU fan grilles,2,1,2,one per PSU,large,left portion of each PSU face,recessed fan geometry and protective bar,black blades/grille; silver fasteners,https://www.lnc.ru/catalog/huawei/rack/huawei-fusionserver-rh1288-v3,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,IEC AC inlets,2,1,2,one per PSU,medium,right portion of each PSU face,recessed C14 geometry,black inlet; silver surround,https://www.lnc.ru/catalog/huawei/rack/huawei-fusionserver-rh1288-v3,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,rear mounting ears,0,0,0,none,none,none,none,none,https://www.lnc.ru/catalog/huawei/rack/huawei-fusionserver-rh1288-v3,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
left,side rail attachment pins/slots,4,1,4,independent physical-left pattern,small,along lower/mid side,shallow protrusion/recess,silver steel,https://info.support.huawei.com/computing/tools/gallery/enterprise/intelligent-server/detail?currentProduct=37&lang=en,verified-by-multi-angle,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/left/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/left/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/left.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
left,side vent,0,0,0,none,none,none,none,silver steel,https://info.support.huawei.com/computing/tools/gallery/enterprise/intelligent-server/detail?currentProduct=37&lang=en,verified-by-multi-angle,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/left/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/left/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/left.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
right,side rail strip and fasteners,1,1,1,front-to-rear,large,long lower side,separate shallow relief,dark gray rail strip on silver steel,https://info.support.huawei.com/computing/tools/gallery/enterprise/intelligent-server/detail?currentProduct=37&lang=en,verified-by-multi-angle,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/right/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/right/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/right.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
right,rear side vent,1,1,1,near rear,small,rear upper side,recessed perforated panel,dark vent cells in silver frame,https://info.support.huawei.com/computing/tools/gallery/enterprise/intelligent-server/detail?currentProduct=37&lang=en,verified-by-multi-angle,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/right/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/right/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/right.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
top,main cover panel,1,1,1,front-to-rear,large,entire top body,separate cover shell with seams,silver galvanized/brushed steel,https://info.support.huawei.com/computing/tools/gallery/enterprise/intelligent-server/detail?currentProduct=37&lang=en,verified-by-multi-angle,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/top/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/top/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/top.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
top,transverse seams,2,2,1,front service-lid seam; main cover/rear seam,long,across width,recessed line geometry,dark narrow seams,https://info.support.huawei.com/computing/tools/gallery/enterprise/intelligent-server/detail?currentProduct=37&lang=en,verified-by-multi-angle,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/top/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/top/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/top.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
top,recessed cover latch,1,1,1,centered,medium,slightly forward of center,recessed pocket plus raised handle,silver latch with dark shadow,https://info.support.huawei.com/computing/tools/gallery/enterprise/intelligent-server/detail?currentProduct=37&lang=en,verified-by-multi-angle,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/top/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/top/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/top.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
top,safety/ID labels,2,1,2,small label; larger warning label,small,one near mid/rear; one near front-right,thin label relief,white/yellow/red factory labels,https://info.support.huawei.com/computing/tools/gallery/enterprise/intelligent-server/detail?currentProduct=37&lang=en,verified-by-multi-angle,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/top/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/top/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/top.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
bottom,conservative sheet-metal panel,1,1,1,front-to-rear,large,entire underside,closed opaque surface,silver galvanized steel,source/third-party/generic-bottom-dell-r610.jpeg,generic-bottom-fallback,PASS_WITH_BOTTOM_FALLBACK,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/bottom/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/bottom/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/bottom.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs; bottom rows retain the documented conservative fallback only."
bottom,unsupported labels/vents/feet/holes/rails,0,0,0,none,none,none,none,none,source/evidence.md,generic-bottom-fallback,PASS_WITH_BOTTOM_FALLBACK,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/bottom/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/bottom/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/bottom.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs; bottom rows retain the documented conservative fallback only."
internal,hot-swap fan modules,5,1,5,fan1-fan5,internal,behind front drive/backplane row,not externally visible with cover installed,black dual-rotor fan modules,https://www.nforce.com/files/Huawei%20FusionServer%20RH1288%20V3%20Data%20Sheet.pdf,verified-not-modeled,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three-contact-sheet.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/contact-sheets/babylon-standard.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/contact-sheets/three-standard.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
