path,sha256,visual_origin,claimed_model_configuration,face_or_angle,inspection_notes,imagegen_role,status
source/third-party/techmike-r240-open-top-quarter.jpg,6a5c2ee62ededd8c01ccb2ce36a8adb75fc98513891c772c072fd77eaf96abd6,real-photograph,"R240 4LFF exact listing with rails displayed",open-top three-quarter,"Four fans fixed PSU and right shell visible; detached rails/hands absent; top cover and seller mark are surroundings/modification not final",supporting right/inside/top,accepted-supporting
source/third-party/sth-r240-front.jpg,aca4d385e69d68d4c990704ee465362a09d3023e0c1ec95e064ca51afa2a532d,real-photograph,"R240 4 hot-swap; optional security bezel installed",front-high,"Exact model but bezel state differs; useful only for chassis proportions and factory DELL EMC mark; never primary for requested front",supporting branding only,accepted-supporting
source/third-party/sth-r240-rear-io.jpg,2334b74852afdd38ef60b7eec76f4fa41c57c6d4e0bf45e5dd0cab86e4473032,real-photograph,"R240 exact review unit",rear I/O close-up,"Clear port geometry/material/order and perforations; white background only",binding rear detail,accepted-supporting
source/third-party/sth-r240-pcie-rear.jpg,7b5db3a505125f45b908d0ea51909459eb9ff0e7f5664cb5b5317fee80dafd08,real-photograph,"R240 exact review unit",rear PCIe/PSU close-up,"Clear blanking plates lower vent IEC/BIST and exhaust depth; white background only",binding rear detail,accepted-supporting
source/third-party/sth-r240-psu.jpg,988663f74a32921b58db75a70eee1aa2ef7c0b3028a7c61f7a29f5e2bb0c01ec,real-photograph,"R240 250 W Bronze PSU",internal PSU label close-up,"Factory Dell 250W 80 PLUS Bronze label readable; proves selected PSU option; not externally visible texture",configuration proof,accepted-supporting
source/third-party/sth-r240-internal-top.jpg,aa1715801e9134a6f5c5df33c0a0e03cf364fd90ed818a66ccccedc49e7a60fc,real-photograph,"R240 4LFF hot-swap review unit",open top,"Four fans backplane fixed PSU and exact cable routing visible; supports layout and shell edges",assembly proof,accepted-supporting
source/third-party/garland-r240-front.webp,7d503b987376304b32de61a46d5fae2162ef94b25b16f6e59dea3cfadcfbcb01,real-photograph,"R240 4LFF exact listing",front-high,"Exact four carriers and no bezel but low resolution with artifacted/chroma background; no primary use",corroboration,accepted-supporting
source/third-party/garland-r240-rear.webp,d42531f339b938eafff351d6f8e644ddcd967f869de5867550d51499c1accea5,real-photograph,"R240 4LFF exact listing",rear-high,"Standard rear and one PSU but low resolution with artifacted/chroma background; no primary use",corroboration,accepted-supporting
source/third-party/cloudninjas-r240-top-cover-frame-150s.png,2c249adfde6f191dd314e9dc4c9e4896586663adcbf5d9cc45c4d5aca9a3c975,real-video-frame,"exact R240 comparison; right unit 4LFF hot-swap",top cover,"Both R240 covers visible; central latch seams labels and front fixed deck are clear; pink mat/hands excluded",PRIMARY MULTI-REFERENCE LEFT/TOP SHELL PHOTO,accepted-primary
source/third-party/cloudninjas-r240-4lff-internal-frame-330s.png,2686c87909c3c60f1378f546f1d6c6b5c6cf99f5ba34ad5b0a0fdfcc0007af95,real-video-frame,"right unit exact R240 4LFF hot-swap",open top,"Four single-rotor fans backplane fixed PSU and chassis edges visible; presenter surroundings excluded",supporting assembly geometry,accepted-supporting
source/third-party/cloudninjas-r240-4lff-front-frame-360s.png,14d0a435209b6e09728899088a313b3847a28738d86007b53d7f1f530d87655f,real-video-frame,"lower unit exact R240 4LFF hot-swap",straight front,"Clear direct comparison excludes upper 2-bay cabled face; lower four hot-swap carriers match screenshot; hands/table excluded",binding variant cross-check,accepted-supporting
source/third-party/cloudninjas-r240-4lff-rear-frame-405s.png,64d52bbd67265f56a40b263c8ee25a8e7b5a95d0a588a23bb89d4abcb6390b21,real-video-frame,"upper unit exact R240 4LFF hot-swap",straight rear,"Upper unit shows standard blank-slot single-PSU rear; lower comparison unit has installed add-in ports and is excluded; hands/table excluded",binding rear cross-check,accepted-supporting
source/third-party/generic-bottom-dell-r210ii.jpg,cd55339bef85996c99fe1281cc94d9154ea982114011683fb8e1df1056b13a6a,real-photograph-generic,"Dell PowerEdge R210 II 1U; not R240",underside,"Only galvanized sheet-metal color/grain is binding. All photographed access panels holes feet labels fasteners rails and seams are forbidden for transfer",PRIMARY GENERIC_BOTTOM_FALLBACK MATERIAL PHOTO,accepted-fallback-only
