face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
rear,optional serial DB9,1,1,1,"DB9","medium","left-center rear","recessed connector with screw posts","silver shell; dark pins",https://www.hpe.com/psnow/doc/a00008159enw,verified
rear,iLO 5 management RJ45,1,1,1,"iLO","small","rear center between serial and embedded NIC","true recessed connector opening","black with factory iLO mark",https://support.hpe.com/hpesc/public/docDisplay?docId=a00105399en_us&docLocale=en_US&page=GUID-CCF447DF-671D-4F37-9C1A-B88D67163C92.html,verified
rear,embedded 331i RJ45 ports,4,1,4,"NIC 4; NIC 3; NIC 2; NIC 1 in rear-view order","medium port row","center-right rear before VGA","four true recessed connector openings","silver face; black port cavities",https://www.hpe.com/psnow/doc/a00008159enw,verified
rear,VGA DB15,1,1,1,"VGA","medium","right-center rear before PSUs","recessed connector with screw posts","HPE blue shell",https://support.hpe.com/hpesc/public/docDisplay?docId=a00105399en_us&docLocale=en_US&page=GUID-CCF447DF-671D-4F37-9C1A-B88D67163C92.html,verified
rear,500W 94% Flex Slot AC PSU,2,1,2,"PS2; PS1","two equal hot-plug modules","screen-right rear","separate removable PSU blocks; round fan recess; IEC inlet; handles/latches protrude","silver/black; magenta latch; green status; 500W/94% factory marks",https://www.hpe.com/psnow/doc/a00008159enw,verified
rear,rear chassis flange/fasteners,2,1,2,"left and right bare chassis margins","narrow","extreme rear sides","sheet-metal return with verified fasteners and holes; no rear ears","galvanized silver",https://support.hpe.com/hpesc/public/docDisplay?docId=a00105399en_us&docLocale=en_US&page=GUID-CCF447DF-671D-4F37-9C1A-B88D67163C92.html,verified
right,side wall and top-cover return,1,1,1,"front to rear","full LFF depth","device physical right side","closed sheet-metal wall; long horizontal seam; top-cover lip","galvanized silver with real grain/wear",https://www.etb-tech.com/hpe-proliant-dl360-gen10-4lff-1-x-bronze-3106-1-7ghz-8-core-32gb-s100i-ilo5-standard-svr-dl360g10-002.html,verified
right,rail mounting studs/recesses,4,1,4,"independent source-placed sequence","small","along right side wall","shallow protruding studs and stamped recesses","silver/dark slot interiors",https://www.etb-tech.com/hpe-proliant-dl360-gen10-4lff-1-x-bronze-3106-1-7ghz-8-core-32gb-s100i-ilo5-standard-svr-dl360g10-002.html,verified
left,side wall and top-cover return,1,1,1,"front to rear","full LFF depth","device physical left side","closed sheet-metal wall; independent seam/rail mounting pattern","galvanized silver with real grain/wear",https://support.hpe.com/hpesc/public/docDisplay?docId=a00105399en_us&docLocale=en_US,verified
left,rail mounting studs/recesses,4,1,4,"independent manual/source-placed sequence","small","along left side wall","shallow protruding studs and stamped recesses; do not mirror right UV or geometry","silver/dark slot interiors",https://support.hpe.com/hpesc/public/docDisplay?docId=a00105399en_us&docLocale=en_US,verified
top,front fixed LFF cover section,1,1,1,"front section","about front quarter depth","top front","separate fixed panel with transverse seam, stamped dimples and fasteners","galvanized silver; two factory label fields",https://retail.era.ca/products/hpe-proliant-dl360-gen10-1u-3-5-1x-gold-6138-32gb-ddr4-ram-e208i-a-sr-gen10-10g-2x500w,verified
top,removable access cover,1,1,1,"main cover","majority of top","behind front fixed section","separate top panel with folded edges","galvanized silver with scratches/grain",https://retail.era.ca/products/hpe-proliant-dl360-gen10-1u-3-5-1x-gold-6138-32gb-ddr4-ram-e208i-a-sr-gen10-10g-2x500w,verified
top,access-panel latch,1,1,1,"central black latch","small elongated","near front half of access cover","recessed black handle/latch with raised end","black plastic/painted metal",https://retail.era.ca/products/hpe-proliant-dl360-gen10-1u-3-5-1x-gold-6138-32gb-ddr4-ram-e208i-a-sr-gen10-10g-2x500w,verified
top,vent groups,3,2,2,"one small left-center; two long rear groups","small-to-long","access cover center/rear","verified stamped slots; opaque dark recess treatment","silver with dark slot pixels/relief",https://retail.era.ca/products/hpe-proliant-dl360-gen10-1u-3-5-1x-gold-6138-32gb-ddr4-ram-e208i-a-sr-gen10-10g-2x500w,verified
bottom,conservative underside sheet,1,1,1,"none","full body width/depth","bottom","closed flat sheet preserving only verified side silhouette","galvanized silver",generic-bottom-fallback,verified-fallback
