face,component,expected_count,viewer_a_standard,viewer_a_web,viewer_b_standard,viewer_b_web,representation,verdict,notes
front,Intel badge,1,PASS,PASS,PASS,PASS,source-locked photographic texture on supporting exterior geometry,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,half-height PCIe blank covers,3,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,riser 2 blank covers,2,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,riser 3 blank covers,2,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,PCIe slot number legends,7,PASS,PASS,PASS,PASS,source-locked photographic texture on supporting exterior geometry,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,upper-right chassis grille,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,system ID button and status connector,2,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,iDRAC8 Enterprise port,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,serial connector,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,VGA connector,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,USB 3.0 ports,2,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,four-port NDC,4,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,PCIe card holder handle,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,AC power-supply modules,2,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,IEC C14 AC inlets,2,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,PSU orange release latches,2,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,PSU cooling fan grilles,2,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
rear,PSU pull handles,2,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
left,side shell,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
left,top-cover catch tabs,5,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
left,long stamped channel,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
left,regulatory labels,3,PASS,PASS,PASS,PASS,source-locked photographic texture on supporting exterior geometry,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
left,side fasteners and dimples,14,PASS,PASS,PASS,PASS,source-locked photographic texture on supporting exterior geometry,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
right,side shell,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
right,top-cover seam and folded lip,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
right,stamped channel and fasteners,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
right,regulatory labels,0,PASS,PASS,PASS,PASS,verified exclusion,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
top,removable top cover,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
top,cover latch,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
top,stiffening ribs,2,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
top,front service label band,1,PASS,PASS,PASS,PASS,source-locked photographic texture on supporting exterior geometry,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
top,front ventilation slots,2,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
bottom,controlled generic sheet bottom,1,PASS,PASS,PASS,PASS,closed conservative fallback sheet; no unsupported identity detail,PASS,Reviewed in six orthographic/four oblique actual-GLB render set; bottom rows use documented fallback.
bottom,unsupported identity features,0,PASS,PASS,PASS,PASS,verified exclusion,PASS,Reviewed in six orthographic/four oblique actual-GLB render set; bottom rows use documented fallback.
