face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,review_status,final_evidence
front,right ProLiant badge module,1,1,1,rightmost ear,badge-width,right ear,outset black badge,black with HPE green outline and readable ProLiant DL360 Gen10,source/third-party/piospartslap-22257-8SFF-view2.jpg,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
rear,PCIe blanking groups,3,1,3,slot1 then slot2 then optional slot3 across upper rear-left/center,three distinct apertures,rear upper-left to center,separate inset blanking plates,silver perforated sheet metal,source/originals/user-row5-rear.png,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,FlexibleLOM blank,1,1,1,screen left lower expansion area,long low rectangle,rear lower-left,separate recessed blank,silver/perforated,qa/reference/ITPro-rear-user-match.jpg,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,USB3 ports,2,1,2,USB pair before serial/iLO cluster,two narrow stacked/adjacent sockets,rear lower mid-left,recessed,blue/black,qa/reference/ITPro-rear-user-match.jpg,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,serial DB9,1,1,1,after USB pair,medium D-sub,rear lower middle,recessed,teal/green connector,source/originals/user-row5-rear.png,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,iLO management RJ45,1,1,1,between serial and embedded NICs,single RJ45,rear lower center,recessed,black/silver with iLO label,qa/reference/ITPro-rear-user-match.jpg,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,embedded 1GbE RJ45 ports,4,1,4,four NICs in one horizontal group,four equal sockets,rear lower center-right,recessed,black sockets with green LEDs,source/originals/user-row5-rear.png,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,VGA,1,1,1,immediately before PSU area,single D-sub,rear lower right-of-center,recessed,blue,qa/reference/ITPro-rear-user-match.jpg,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,AC Flex Slot PSU modules,2,1,2,PS2 then PS1 across screen right,two equal square rear faces,rear right,individually projecting hot-plug blocks,silver/black 500W 94% with fans and IEC C14 inlets,qa/reference/ITPro-rear-user-match.jpg,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,PSU fans,2,1,2,one per PSU,round within each PSU face,rear right,recessed fan geometry,black fan blades/grille,qa/reference/ITPro-rear-user-match.jpg,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,rear rack ears,0,0,0,none,none,none,none,none,source/originals/user-row5-rear.png,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
top,fixed front cover panel,1,1,1,front transverse section,full body width x approx 125mm depth,top-front,flush with rivets and seam,silver galvanized/brushed steel,source/third-party/piospartslap-22257-8SFF-view2.jpg,verified,MATCHED,final/comparisons/three/top/sheet.png; final/comparisons/babylon/top/sheet.png
top,removable access panel,1,1,1,behind transverse seam,majority of depth,top,flush/slightly stepped,silver galvanized/brushed steel,source/third-party/piospartslap-22257-8SFF-view2.jpg,verified,MATCHED,final/comparisons/three/top/sheet.png; final/comparisons/babylon/top/sheet.png
top,release latch,1,1,1,centerline near front half,small black rectangle,top center,raised,black plastic/metal,source/third-party/piospartslap-22257-8SFF-view2.jpg,verified,MATCHED,final/comparisons/three/top/sheet.png; final/comparisons/babylon/top/sheet.png
top,vent banks,4,1,4,asymmetric verified banks from left-front through rear-right,small/long slot arrays,top surface,perforated/relief,dark slots in silver sheet,source/third-party/piospartslap-22257-8SFF-view4.jpg,verified,MATCHED,final/comparisons/three/top/sheet.png; final/comparisons/babylon/top/sheet.png
top,factory service/regulatory labels,2,1,2,left and right fixed-front panel labels,medium black rectangles,top-front,flush printed labels,black/white,source/third-party/piospartslap-22257-8SFF-view2.jpg,verified,MATCHED,final/comparisons/three/top/sheet.png; final/comparisons/babylon/top/sheet.png
left,side sheet-metal wall,1,1,1,device left,707mm x 42.9mm,left side,opaque wall with shallow seams,galvanized silver,source/third-party/piospartslap-22257-8SFF-view2.jpg,verified,MATCHED,final/comparisons/three/left/sheet.png; final/comparisons/babylon/left/sheet.png
left,rail attachment relief,4,1,4,non-mirrored positions along left wall,small studs/slots,left side,shallow raised/recessed,galvanized silver,source/third-party/ebay-327204807466-view01.webp,verified,MATCHED,final/comparisons/three/left/sheet.png; final/comparisons/babylon/left/sheet.png
right,side sheet-metal wall,1,1,1,device right,707mm x 42.9mm,right side,opaque wall with shallow seams,galvanized silver,source/third-party/piospartslap-22257-8SFF-view4.jpg,verified,MATCHED,final/comparisons/three/right/sheet.png; final/comparisons/babylon/right/sheet.png
right,rail attachment relief,4,1,4,non-mirrored positions along right wall,small studs/slots,right side,shallow raised/recessed,galvanized silver,source/third-party/ebay-327204807466-view10.webp,verified,MATCHED,final/comparisons/three/right/sheet.png; final/comparisons/babylon/right/sheet.png
bottom,conservative fallback sheet,1,1,1,full body footprint,434.6mm x 707mm,bottom,closed opaque face,plain galvanized silver with no unsupported identifying detail,source/underside-search-log.md,GENERIC_BOTTOM_FALLBACK,MATCHED_GENERIC_BOTTOM_FALLBACK,final/comparisons/three/bottom/sheet.png; final/comparisons/babylon/bottom/sheet.png
