face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
rear,PSU AC inlets,2,2,1,top then bottom,IEC inlet sized,screen right of each PSU,recessed socket,black socket in silver module,source/third-party/itinstock-c6300-4xc6320.jpg,VERIFIED_AC
rear,PSU orange releases,2,2,1,top then bottom,narrow vertical part,immediately right of each IEC inlet,protruding release/illuminated translucent handle,orange/amber,source/third-party/itinstock-c6300-4xc6320.jpg,VERIFIED
rear,PCIe vented blank or carrier per sled,4,2,2,one per sled,large upper-right/upper-half rectangle,upper half of each sled,separate shallow module with handle and square/rectangular perforation,silver galvanized steel + black pull label,source/third-party/itinstock-c6300-4xc6320.jpg,VERIFIED
rear,USB 3.0 port per sled,4,2,2,first I/O at screen-left within sled,small stacked blue port,lower I/O strip,recessed connector,blue/black,source/pdf-pages/owners-manual-p13.png,VERIFIED
rear,10GbE SFP+ ports,8,2,4,"two adjacent ports per sled labeled 10GbE1 and 10GbE2",small metal cages,lower I/O strip after USB,recessed metal connector cages,silver/black,source/third-party/ebay-maravi-c6300-3.webp,VERIFIED
rear,dedicated iDRAC8 management RJ45 ports,4,2,2,one per sled after SFP+ pair,small RJ45,lower I/O strip,recessed black connector,black with green indicator pixels,source/pdf-pages/owners-manual-p13.png,VERIFIED
rear,USB-to-serial ports,4,2,2,one per sled before VGA,small squarish service connector,lower I/O strip,recessed gray connector,gray/black,source/pdf-pages/owners-manual-p13.png,VERIFIED
rear,VGA ports,4,2,2,one per sled near screen-right,medium D-sub,lower I/O strip,recessed connector with screw posts,blue/silver,source/third-party/ebay-maravi-c6300-3.webp,VERIFIED
rear,power/status buttons,4,2,2,one per sled at screen-right end,tiny circular,lower I/O strip,slightly inset,gray/green,source/pdf-pages/owners-manual-p13.png,VERIFIED
rear,POWEREDGE C6320 pull-label tabs,4,2,2,one black vertical tab per sled,tall narrow,near center/right of each sled,protruding latch/tab,black plastic with factory white marking,source/third-party/ebay-maravi-c6300-3.webp,VERIFIED
rear,hex ventilation fields,4,2,2,one per sled,large,upper-left portion of each sled,opaque dark recess behind perforated metal,silver perforation / dark gray depth,source/third-party/ebay-maravi-c6300-3.webp,VERIFIED
top,large removable system cover,1,1,1,not applicable,dominant 75-percent depth,center/rear portion,raised sheet-metal panel above side rails,worn galvanized silver steel,source/pdf-pages/owners-manual-p59.png,VERIFIED
top,stepped/scalloped transverse cover seam,1,1,1,not applicable,full width,near front fixed drive-cage section,real seam depth and interlocking tabs,silver steel / dark seam,source/third-party/ebay-maravi-c6300-4.webp,VERIFIED
top,black oval traction/release pad,1,1,1,not applicable,medium,one side of removable cover,slightly raised black oval with blue center,black/blue rubber/plastic,source/third-party/ebay-maravi-c6300-4.webp,VERIFIED
top,blue rectangular traction pad,1,1,1,not applicable,medium,opposite side of removable cover,slightly raised rounded rectangle with center fastener,blue rubber/plastic,source/third-party/ebay-maravi-c6300-4.webp,VERIFIED
top,rear-edge ventilation slot groups,3,1,3,left center right,short narrow strips,near rear I/O edge,through/relief slots with dark recess,silver/dark,source/third-party/ebay-maravi-c6300-4.webp,VERIFIED
top,factory safety/regulatory labels,3,1,3,"QRL/black; yellow lift warning; black regulatory",small/medium,front fixed panel,flush printed labels,black white yellow,source/third-party/ebay-maravi-c6300-4.webp,VERIFIED_FACTORY_ONLY
left,side body panel,1,1,1,not applicable,795.9:86.8,physical left,opaque closed 1.5-mm sheet with stamped edge folds,galvanized silver steel,source/pdf-pages/owners-manual-p61.png,VERIFIED
left,major rail key slots,3,2,3,non-mirrored source order,long narrow slots,upper/middle side regions,recessed stamped slots,silver/dark seam,source/pdf-pages/owners-manual-p61.png,VERIFIED_DIAGRAM
left,round rail and chassis fasteners,12,2,6,nonuniform,small,distributed along side,recessed/flush circles,silver/dark,source/pdf-pages/owners-manual-p61.png,VERIFIED_DIAGRAM
left,front ear projection,1,1,1,front-only,narrow,front end,separate flange ahead of side panel,dark graphite steel,source/pdf-pages/owners-manual-p59.png,VERIFIED
right,side body panel,1,1,1,not applicable,795.9:86.8,physical right,opaque closed 1.5-mm sheet with stamped edge folds,galvanized silver steel,source/pdf-pages/owners-manual-p138.png,VERIFIED
right,major rail key slots,3,2,3,non-mirrored source order,long narrow slots,upper/middle side regions,recessed stamped slots,silver/dark seam,source/pdf-pages/owners-manual-p138.png,VERIFIED_DIAGRAM
right,vertical access slot,1,1,1,not applicable,medium narrow,front half,recessed stamped opening,silver/dark seam,source/pdf-pages/owners-manual-p138.png,VERIFIED_DIAGRAM
right,upper shallow rectangular recesses,2,1,2,rear-to-front pair,small,near upper edge/front half,shallow stamped recess,silver,source/pdf-pages/owners-manual-p138.png,VERIFIED_DIAGRAM
right,round rail and chassis fasteners,10,2,5,nonuniform,small,distributed along side,recessed/flush circles,silver/dark,source/pdf-pages/owners-manual-p138.png,VERIFIED_DIAGRAM
right,front ear projection,1,1,1,front-only,narrow,front end,separate flange ahead of side panel,dark graphite steel,source/third-party/ebay-maravi-c6300-1.webp,VERIFIED
bottom,conservative underside sheet,1,1,1,not applicable,448.0:795.9,entire underside,flat opaque closed surface with folded perimeter only,galvanized silver steel,source/pdf-pages/owners-manual-p26.png,GENERIC_BOTTOM_FALLBACK
bottom,unsupported identifying detail,0,0,0,none,none,none,none,"no logo label vent hole foot rail seam fastener or protrusion",source/evidence.md,REQUIRED_ABSENCE
