face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url_or_path,confidence,observed_count,final_render_evidence,cross_viewer_rotation_evidence,final_review,status,reviewed_utc,final_standard_sha256,final_web_sha256
rear,external PCIe slot covers,3,1,3,slot 1; slot 2; slot 3 from physical-right toward physical-left as labeled by Huawei,three unequal perforated/blank stamped covers,upper rear span,separate recessed stamped panels with holes/relief,silver galvanized metal,source/pdf-pages/user-guide-p020.png; source/third-party/serverflow/10sff-photo.webp,HIGH,3,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/rear.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
rear,optional LOM1/2 position,1,1,1,unpopulated and closed,wide blank area,rear screen-left below PCIe slot 1,closed flat/stamped cover with no SFP or RJ45 sockets,silver galvanized metal,qa/reference/user-row-09-rear-4x.png; source/pdf-pages/user-guide-p020.png,HIGH,1,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/rear.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
rear,VGA port,1,1,1,first installed connector after the empty LOM1/2 position,DB15 width,rear lower service strip,recessed connector with screws,blue insert and silver shell,qa/reference/user-row-09-rear-4x.png; source/pdf-pages/user-guide-p022.png,HIGH,1,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/rear.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
rear,GE/management/serial RJ45 group,4,1,4,GE A3; GE A4; Mgmt; serial IOIO,four equal sockets,central lower service strip,recessed cages and sockets,silver cages with black sockets and tiny green LEDs,source/pdf-pages/user-guide-p022.png; source/third-party/serverflow/10sff-photo.webp,HIGH,4,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/rear.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
rear,USB 3.0 ports,2,2,1,upper then lower,stacked pair,immediately right of four-RJ45 group in rear image,recessed connector geometry,black shell with blue inserts,source/pdf-pages/user-guide-p022.png; source/third-party/serverflow/10sff-photo.webp,HIGH,2,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/rear.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
rear,FlexIO position,1,1,1,between service I/O and PSU region,long low blank panel,lower center-right in rear image,separate slightly recessed blank/perforated panel,silver galvanized metal with dark vent openings,source/pdf-pages/user-guide-p020.png; source/third-party/serverflow/10sff-photo.webp,HIGH,1,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/rear.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
rear,hot-swap AC PSU modules,2,1,2,PSU 1 then PSU 2 at rear screen-right,each about 13 percent body width,rear physical-left end,separate identical module bodies/face plates/handles; no unproven wattage text,silver metal and black face,qa/reference/user-row-09-rear-4x.png; source/third-party/serverflow/10sff-photo.webp,HIGH,2,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/rear.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
rear,AC C14 inlets,2,1,2,one per PSU,large vertical inlet,on each PSU face,recessed true port geometry,black polymer,source/third-party/serverflow/10sff-photo.webp,HIGH,2,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/rear.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
rear,PSU fan grilles,2,1,2,one per PSU,large circular/swept grille,on each PSU face,recessed fan cavity with geometric grille and hub,black fan behind silver spokes,source/third-party/serverflow/10sff-photo.webp,HIGH,2,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/rear.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
rear,PSU handles/release latches,2,1,2,one per PSU,edge-mounted,on each PSU face,protruding geometry,black handle with yellow-green release,qa/reference/user-row-09-rear-4x.png; source/third-party/serverflow/10sff-photo.webp,HIGH,2,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/rear.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
top,closed main cover,1,1,1,front edge at image bottom in locked orientation,436 x 708 mm body ratio,whole chassis,independent thin stamped cover above closed shell,light galvanized steel with real scuffs/grain,source/third-party/serverflow/10sff.webp; source/third-party/serverflow/10sff-photo.webp,HIGH,1,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/top.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
top,top vent bands,2,2,1,front band then rear band,two long narrow slot rows,one near front fixed strip and one near rear,real recessed slot relief,dark slots in light galvanized steel,source/third-party/serverflow/10sff.webp; source/third-party/serverflow/10sff-photo.webp,HIGH,2,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/top.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
top,cover latch,1,1,1,centered,left-right center slightly forward of mid-depth,small rectangular stamped latch,recessed base plus raised handle,light/dark silver with yellow mark,source/third-party/serverflow/10sff.webp,HIGH,1,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/top.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
top,front fixed strip and seam,1,1,1,front-most strip,full width behind front bezel,near +Z/front,separate shallow panel/seam,light galvanized steel,source/third-party/serverflow/10sff.webp,HIGH,1,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/top.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
top,rear stepped cover contour,1,1,1,around PSU/riser region,full rear width with unequal notches,near -Z/rear,stamped step and edge folds,light galvanized steel,source/third-party/serverflow/10sff-photo.webp,HIGH,1,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/top.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
top,factory label zones,4,1,4,across fixed front strip,small rectangles,front strip,flush texture only,white factory labels with non-unit-specific marks; serial/barcode text omitted,source/third-party/serverflow/10sff.webp,MEDIUM-HIGH,4,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/top.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
left,left wall,1,1,1,independent from right,708 x 43 mm body ratio,physical left side,closed sheet-metal wall with folds,galvanized steel with black top lip,source/third-party/serverflow/10sff.webp; source/third-party/serverflow/10sff-photo.webp,HIGH,1,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/left.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
left,left rail slots/fasteners,several,1,several,only positions jointly visible from front-top and rear-top angles,small,distributed along physical left wall,shallow slots and true fasteners,galvanized/dark metal,source/third-party/serverflow/10sff.webp; source/third-party/serverflow/10sff-photo.webp,MEDIUM-HIGH,several,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/left.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
right,right wall,1,1,1,independent from left,708 x 43 mm body ratio,physical right side,closed sheet-metal wall with different endpoint folds,galvanized steel with black top lip,source/third-party/serverflow/10sff.webp; source/third-party/serverflow/10sff-photo.webp,HIGH,1,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/right.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
right,right rail slots/fasteners,several,1,several,only positions jointly visible from front-top and rear-top angles,small,distributed along physical right wall,shallow slots and true fasteners not copied from left,galvanized/dark metal,source/third-party/serverflow/10sff.webp; source/third-party/serverflow/10sff-photo.webp,MEDIUM-HIGH,several,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/right.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
bottom,conservative base plate,1,1,1,front at image bottom in canonical view,436 x 708 mm body ratio,entire underside,closed plate preserving verified side silhouette only,plain galvanized steel,GENERIC_BOTTOM_FALLBACK,LOW-BUT-ALLOWED,1,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/comparisons/bottom.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS_WITH_BOTTOM_FALLBACK,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
all,closed chassis shell,1,1,1,n/a,436 x 43 x 708 mm body,centered,outward-normal closed geometry,galvanized steel,source/pdf-pages/user-guide-p055.png,HIGH,1,/root/Project/rack-device-3d/Huawei-RH1288V5-2.5inch/qa/rotation-review/after/matched-camera/renders/08-front-right.png,qa/rotation-review/after/three-standard; qa/rotation-review/after/babylon-standard,Count/order/position/relative size/relief/material and non-mirrored orientation matched against the locked source row in the final-hash render and both WebGL2 viewers.,PASS,2026-08-27T13:34:43.782775+00:00,dec12900443e05b1abe79448c6f4f880be993fb235a7107832cca209fc2b8205,10d74d846285762a9fbbc61a8213126b716bf97fe0aae7c54765600bd9fdc121
