face,component,expected_count,expected_order,expected_relief,source,comparison,rotation_evidence,status,review_note
rear,low-profile PCIe slot blanks,3,slot 1; slot 2; slot 3,separate recessed ventilated blanks,https://www.dell.com/support/manuals/en-us/poweredge-r620/r620systemownersmanual-v1/back-panel-features-and-indicators,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,system ID button/light,1,far device-right when interpreted physically; screen-left in rear elevation,recessed,https://www.dell.com/support/manuals/en-us/poweredge-r620/r620systemownersmanual-v1/back-panel-features-and-indicators,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,system ID connector,1,beside ID button,recessed round,https://www.dell.com/support/manuals/en-us/poweredge-r620/r620systemownersmanual-v1/back-panel-features-and-indicators,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,iDRAC7 Enterprise RJ45,1,before serial,recessed,https://www.dell.com/support/manuals/en-us/poweredge-r620/r620systemownersmanual-v1/back-panel-features-and-indicators,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,DB9 serial,1,after iDRAC,recessed,https://www.dell.com/support/manuals/en-us/poweredge-r620/r620systemownersmanual-v1/back-panel-features-and-indicators,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,DB15 VGA,1,after serial,recessed,https://www.dell.com/support/manuals/en-us/poweredge-r620/r620systemownersmanual-v1/back-panel-features-and-indicators,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,USB 2.0 ports,2,vertical pair,recessed,https://www.dell.com/support/manuals/en-us/poweredge-r620/r620systemownersmanual-v1/back-panel-features-and-indicators,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,quad 1GbE Base-T RJ45,4,RJ45 1 2 3 4,recessed individual ports,https://pcserverandparts.com/dell-poweredge-r620-10-bay-sff-server-2x-intel-xeon-e5-2670-2-60-ghz-8c-32gb-ddr3-4x-600gb-hdd-i350-h710-refurbished/,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,AC power supplies,2,PSU1 then PSU2,separate projecting removable assemblies,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,IEC C14 AC inlets,2,one at left of each PSU face,deep recess,source/third-party/pcsp-r620-10sff-i350-5.jpg,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,PSU cooling fans,2,one at right of each PSU face,deep circular recess/blades,source/third-party/pcsp-r620-10sff-i350-5.jpg,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,PSU orange release latches,2,one per PSU,protruding,source/third-party/pcsp-r620-10sff-i350-5.jpg,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,PSU translucent handles,2,one per PSU,protruding U geometry,https://dl.dell.com/topicspdf/poweredge-r620_owners-manual_en-us.pdf,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,PSU black cable straps,2,one per PSU,excluded non-chassis accessory,source/third-party/pcsp-r620-10sff-i350-5.jpg,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,rear rack ears,0,absent,N/A,source/third-party/pcsp-r620-10sff-i350-5.jpg,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
left,side rail mounting studs,5,front-to-rear unequal spacing,protruding circular heads,source/third-party/cloudninjas-r620-10sff-4.jpg,qa/rotation-review-20260827/final/comparisons/left.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
left,side rail slots,4,front-to-rear,recessed/open relief,source/third-party/cloudninjas-r620-10sff-4.jpg,qa/rotation-review-20260827/final/comparisons/left.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
left,cover/body horizontal seam,1,full depth,recessed line,source/third-party/cloudninjas-r620-10sff-4.jpg,qa/rotation-review-20260827/final/comparisons/left.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
left,front ear projection,1,front only; canonical image-right,separate projection,source/third-party/cloudninjas-r620-10sff-4.jpg,qa/rotation-review-20260827/final/comparisons/left.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
right,side rail mounting studs,5,front-to-rear unequal spacing,protruding circular heads,source/third-party/itcreations-r620-10sff-2.jpg,qa/rotation-review-20260827/final/comparisons/right.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
right,side rail key/rectangular slots,4,front-to-rear,recessed/open relief,source/third-party/itcreations-r620-10sff-2.jpg,qa/rotation-review-20260827/final/comparisons/right.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
right,cover/body horizontal seam,1,full depth,recessed line,source/third-party/itcreations-r620-10sff-2.jpg,qa/rotation-review-20260827/final/comparisons/right.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
right,front ear projection,1,front only; canonical image-left,separate projection,source/third-party/itcreations-r620-10sff-2.jpg,qa/rotation-review-20260827/final/comparisons/right.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,galvanized removable cover,1,front to rear,slightly raised closed sheet,source/third-party/cloudninjas-r620-10sff-2.jpg,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,cover latch handle,1,asymmetric,raised/recessed assembly,source/third-party/cloudninjas-r620-10sff-2.jpg,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,front ventilation rows,2,continuous near front edge,recessed slots,source/third-party/cloudninjas-r620-10sff-2.jpg,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,rear ventilation band,1,asymmetric broken row,recessed slots,source/third-party/cloudninjas-r620-10sff-2.jpg,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,Dell service instruction label,1,large asymmetric label,flush printed label,source/third-party/cloudninjas-r620-10sff-2.jpg,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,regulatory labels,2,small black labels,flush printed labels,source/third-party/cloudninjas-r620-10sff-2.jpg,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
bottom,conservative sheet-metal underside,1,no identity-bearing details,flat opaque surface,source/third-party/dell-r210ii-1u-underside-fallback.jpg,qa/rotation-review-20260827/final/comparisons/bottom.png,qa/rotation-review-20260827/final/rotation/,PASS_WITH_BOTTOM_FALLBACK,Conservative bottom-only fallback matches verified ratio/material and introduces no unsupported identity detail.
bottom,unsupported holes/feet/labels/vents/rails/logos,0,explicitly omitted,N/A,source/bottom-search-log.md,qa/rotation-review-20260827/final/comparisons/bottom.png,qa/rotation-review-20260827/final/rotation/,PASS_WITH_BOTTOM_FALLBACK,Conservative bottom-only fallback matches verified ratio/material and introduces no unsupported identity detail.
