face,feature,expected_count,state,geometry_requirement,source_lock,qa_priority,final_status,three_actual_glb_comparison,babylon_actual_glb_comparison,final_static_load_evidence,rotation_evidence,review_note
rear,AC C14 inlets,2,present,recessed inlet geometry; no DC terminal blocks,exact dual-900W specimen,critical,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,PSU fan grilles,2,present,circular fan detail and perforation field,exact rear specimen,high,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
top,main cover,1,closed,separate thin cover above chassis body,exact top specimen,critical,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/top/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/top/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/top.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
top,center cover latch,1,present,raised/indented latch geometry,exact top specimen,high,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/top/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/top/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/top.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
top,rear vent band,1,present,repeated slot geometry across evidence-matched span,exact top specimen,high,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/top/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/top/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/top.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
top,mid/front vent band,1,present,repeated slot geometry across evidence-matched span,exact top specimen,high,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/top/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/top/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/top.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
top,cover seams,2,present,visible panel breaks at measured proportional positions,exact top specimen,high,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/top/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/top/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/top.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
top,regulatory/instruction label zones,limited,present only as non-unit-specific graphic blocks,no readable serial/barcode invention,exact specimen plus omission policy,medium,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/top/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/top/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/top.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
left,side wall,1,present,separate wall with independent endpoint/rail-relief details,multi-reference reconstruction,high,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/left/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/left/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/left.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
left,rail relief/fasteners,several,present only where supported,shallow geometric features not mirrored from right,multi-reference reconstruction,medium,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/left/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/left/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/left.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
right,side wall,1,present,separate wall with independent PSU-side endpoint details,multi-reference reconstruction,high,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/right/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/right/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/right.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
right,rail relief/fasteners,several,present only where supported,shallow geometric features not mirrored from left,multi-reference reconstruction,medium,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/right/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/right/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/right.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
bottom,base plate,1,fallback,plain galvanized base matching authoritative footprint,controlled fallback,critical,PASS_WITH_BOTTOM_FALLBACK,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/bottom/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/bottom/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/bottom.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs; bottom rows retain the documented conservative fallback only."
bottom,manufacturing seams,rationalized,fallback,conservative shallow seams only; no invented service panels,controlled fallback,medium,PASS_WITH_BOTTOM_FALLBACK,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/bottom/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/bottom/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/bottom.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs; bottom rows retain the documented conservative fallback only."
all,visible chassis depth,748 mm,locked,model bounds must preserve 3.5-inch chassis depth,official user guide,critical,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three-contact-sheet.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/contact-sheets/babylon-standard.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/contact-sheets/three-standard.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
all,body dimensions,436 x 43 x 748 mm,locked,body bounds and rack-ear span audit,official user guide,critical,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three-contact-sheet.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/contact-sheets/babylon-standard.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/contact-sheets/three-standard.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
all,internal fan modules,7,documented not exposed,do not expose through closed cover beyond vent darkness,official datasheet/user guide,low,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three-contact-sheet.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/contact-sheets/babylon-standard.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/contact-sheets/three-standard.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
