path,visual_origin,claimed_model,face_or_angle,configuration,inspection_result,intended_role
source/pdf-pages/cisco-hig-p59.png,TECHNICAL_DOCUMENT,N9K-C9336PQ,dimensions,"complete chassis","Inspected 1870×2420 render. Official 17.5 × 22.5 × 3.5 in (2RU) table.",dimension authority
source/pdf-pages/cisco-hig-p73.png,TECHNICAL_DIAGRAM,N9K-C9300-RMK,rack kit,"two bottom rails; two front brackets","Inspected 1870×2420 render. Confirms brackets are separate port-side parts rather than rear ears.",rack hardware geometry support
source/optional-3d/COMPOSITE_TEXTURE_0.JPG,OFFICIAL_3D_TEXTURE,N9K-C9336PQ,atlas,"C9336PQ; 36 QSFP; N9K-C9300-FAN3; 1200W AC burgundy PSU","Inspected converted 2048² PNG at original detail. Exact official photographic atlas with readable model/fan markings; supporting source only, not a replacement for real photos.",front/rear detail support
source/optional-3d/9336PQ_Left_fr_half.jpg,OFFICIAL_3D_TEXTURE,N9K-C9336PQ,left front half,"bare chassis","Inspected converted 2048×512 PNG. Exact hole/screw and front edge pattern.",left reconstruction support
source/optional-3d/9336PQ_Left_bk_half.jpg,OFFICIAL_3D_TEXTURE,N9K-C9336PQ,left rear half,"bare chassis","Inspected converted 2048×512 PNG. Exact latch-notch and hole/screw pattern.",left reconstruction support
source/optional-3d/9336PQ_R_Fr_half.jpg,OFFICIAL_3D_TEXTURE,N9K-C9336PQ,right front half,"bare chassis","Inspected converted 2048×512 PNG. Exact asymmetric hole/screw pattern.",right reconstruction support
source/optional-3d/9336PQ_R_Bk_half.jpg,OFFICIAL_3D_TEXTURE,N9K-C9336PQ,right rear half,"bare chassis","Inspected converted 2048×512 PNG. Exact latch-notch and screw pattern.",right reconstruction support
source/optional-3d/9336PQ_T_L_FrHalf.jpg,OFFICIAL_3D_TEXTURE,N9K-C9336PQ,top quadrant,"cover installed","Inspected converted 1024² PNG. Plain silver grain and sparse screws.",top reconstruction support
source/optional-3d/9336PQ_T_R_FrHalf.jpg,OFFICIAL_3D_TEXTURE,N9K-C9336PQ,top quadrant,"cover installed","Inspected converted 1024² PNG. Plain silver grain and sparse screws.",top reconstruction support
source/optional-3d/9336PQ_T_L_BkHalf.jpg,OFFICIAL_3D_TEXTURE,N9K-C9336PQ,top quadrant,"cover installed","Inspected converted 1024² PNG. Plain silver grain and sparse screws.",top reconstruction support
source/optional-3d/9336PQ_T_R_BkHalf.jpg,OFFICIAL_3D_TEXTURE,N9K-C9336PQ,top quadrant,"cover installed","Inspected converted 1024×2048 PNG. Plain silver grain and sparse screws.",top reconstruction support
source/optional-3d/9336PQ_Btm_L_frHalf.jpg,OFFICIAL_3D_TEXTURE,N9K-C9336PQ,bottom quadrant,"exact official viewer model","Inspected converted 1024² PNG. Exact sparse fasteners and edge treatment.",bottom binding support
source/optional-3d/9336PQ_Btm_R_frHalf.jpg,OFFICIAL_3D_TEXTURE,N9K-C9336PQ,bottom quadrant,"exact official viewer model","Inspected converted 1024² PNG. Exact sparse fasteners and edge treatment.",bottom binding support
source/optional-3d/9336PQ_Btm_L_bkHalf.jpg,OFFICIAL_3D_TEXTURE,N9K-C9336PQ,bottom quadrant,"exact official viewer model","Inspected converted 1024² PNG. Exact stamped rib/tabs/holes; selected primary official bottom source.",bottom primary
source/optional-3d/9336PQ_Btm_R_bkHalf.jpg,OFFICIAL_3D_TEXTURE,N9K-C9336PQ,bottom quadrant,"exact official viewer model","Inspected converted 1024² PNG. Exact stamped rib/tabs/holes.",bottom binding support

