face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
rear,fan honeycomb fields,2,1,2,"left central; right central","large square","center","deep perforated grilles",silver hex grille/black fan interior,https://www.ebay.com/itm/165588009864,VERIFIED
rear,fan module pull handles,2,1,2,"one per fan","medium U-tab","bottom center of fan modules","projected curved handle",dark gray/black,https://www.ebay.com/itm/165588009864,VERIFIED
rear,fan module thumbscrews,2,1,2,"one per fan","small circular","top outer corners","projected cylindrical",silver metal,https://www.ebay.com/itm/165588009864,VERIFIED
rear,fan status LEDs,2,1,2,"one per fan","small","bottom left of each module","flush lens",dark lens with STS label,https://www.ebay.com/itm/165588009864,VERIFIED
rear,airflow identity stripes,4,1,4,"PS1 latch; FAN1 stripe; FAN2 stripe; PS2 latch","narrow","all removable airflow modules","flush color insert/projected latch",burgundy port-side-intake,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/aci_9336pq_hig/guide/b_n9336PQ_hardware_install_guide/b_n9336PQ_hardware_install_guide_chapter_01010.html,VERIFIED
rear,rear rack ears,0,0,0,"none","none","none","none",none,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/aci_9336pq_hig/guide/b_n9336PQ_hardware_install_guide/b_n9336PQ_hardware_install_guide_appendix_0100.html,VERIFIED
left,side rail-lock notch,1,1,1,"rear-side notch","small","near power-supply end","true cutout/recess",dark metal recess,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/aci_9336pq_hig/guide/b_n9336PQ_hardware_install_guide/b_n9336PQ_hardware_install_guide_chapter_01010.html,VERIFIED
left,side holes,6,2,3,"asymmetric exact pattern","small","front/rear halves","true circular holes or dark recesses",silver rim/black opening,https://apps.kaonadn.net/4357027/catalog/4/481/lepton/9336PQ_Left_fr_half.jpg,VERIFIED
left,side screws,6,2,3,"asymmetric exact pattern","small","front/rear halves","projected heads",silver Phillips heads,https://apps.kaonadn.net/4357027/catalog/4/481/lepton/9336PQ_Left_bk_half.jpg,VERIFIED
right,side rail-lock notch,1,1,1,"rear-side notch","small","near power-supply end","true cutout/recess",dark metal recess,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/aci_9336pq_hig/guide/b_n9336PQ_hardware_install_guide/b_n9336PQ_hardware_install_guide_chapter_01010.html,VERIFIED
right,side holes,6,2,3,"different from left","small","front/rear halves","true circular holes or dark recesses",silver rim/black opening,https://apps.kaonadn.net/4357027/catalog/4/481/lepton/9336PQ_R_Fr_half.jpg,VERIFIED
right,side screws,5,2,3,"different from left","small","front/rear halves","projected heads",silver Phillips heads,https://apps.kaonadn.net/4357027/catalog/4/481/lepton/9336PQ_R_Bk_half.jpg,VERIFIED
top,cover panel,1,1,1,"single removable cover","full body","top","thin panel with perimeter seam",silver painted/galvanized sheet grain,https://www.ebay.com/itm/165588009864,VERIFIED
top,cover screws,12,2,6,"sparse asymmetric perimeter pattern","small","perimeter and rear half","projected heads",silver Phillips heads,https://apps.kaonadn.net/4357027/catalog/4/481/lepton/9336PQ_T_L_FrHalf.jpg,VERIFIED
top,factory regulatory/safety label zones,2,1,2,"regulatory; yellow warning","medium","rear half near center-left","flush labels; no unique serial data fabricated",gray/black and yellow factory label zones,https://www.ebay.com/itm/165588009864,VERIFIED
bottom,bottom sheet panel,1,1,1,"single panel","full body","bottom","closed sheet metal",pale galvanized silver,https://apps.kaonadn.net/4357027/catalog/4/481/lepton/9336PQ_Btm_L_bkHalf.jpg,VERIFIED
bottom,stamped ribs,2,1,2,"left; right","long shallow rounded rectangles","rear half","raised/shallow stamped relief",same silver sheet,https://apps.kaonadn.net/4357027/catalog/4/481/lepton/9336PQ_Btm_L_bkHalf.jpg,VERIFIED
bottom,downward tabs,4,1,4,"two left; two right","small","front/rear transition","projected folded tabs",silver metal with dark slot,https://apps.kaonadn.net/4357027/catalog/4/481/lepton/9336PQ_Btm_R_bkHalf.jpg,VERIFIED
bottom,holes and fasteners,18,4,6,"asymmetric four-quadrant pattern","small","distributed","mixed true holes/recesses and projected heads",silver/black,https://apps.kaonadn.net/4357027/catalog/4/481/lepton/9336PQ_Btm_L_frHalf.jpg,VERIFIED

