path,visual_origin,claimed_model_or_subject,face_or_angle,exact_configuration,inspection_notes,intended_role,status
source/third-party/serverflow/10sff-08.webp,real-photograph,Huawei 1288H V5 10SFF,mainboard close-up,"cover removed","Inspected; no exterior role",not used,ACCEPTED_SUPPORT_ONLY
source/third-party/serverflow/10sff-09.webp,real-photograph,Huawei 1288H V5 10SFF,PSU cage/internal close-up,"cover removed","Inspected; PSU cage relationship support only",geometry support,ACCEPTED_SUPPORT_ONLY
source/third-party/serverflow/10sff-10.webp,real-photograph,Huawei 1288H V5 10SFF,mainboard close-up,"cover removed","Inspected; no exterior role",not used,ACCEPTED_SUPPORT_ONLY
source/third-party/serverflow/10sff-11.webp,real-photograph,Huawei 1288H V5 10SFF,riser/internal close-up,"cover removed","Inspected; three-slot riser mechanism support only",rear geometry support,ACCEPTED_SUPPORT_ONLY
source/third-party/serverflow/10sff-12.webp,real-photograph,Huawei 1288H V5 10SFF,riser card isolated,"removed component","Inspected; no final exterior use",not used,ACCEPTED_SUPPORT_ONLY
source/third-party/serverflow/10sff-13.webp,real-photograph,Huawei 1288H V5 10SFF,riser card close-up,"removed component","Inspected; no final exterior use",not used,ACCEPTED_SUPPORT_ONLY
source/third-party/compuway/front.jpg,marketing-photo,Huawei 1288H V5,front-top,8SFF,"Inspected; three upper plus five lower bays; DVD/VGA/two-USB region; incompatible",variant contrast,REJECTED_FOR_MODEL
source/third-party/compuway/front-10sff.png,technical-render,Huawei 1288H V5,front elevation,10SFF,"Inspected; slots 0-9 confirm five-by-two order; low-resolution but exact layout",front geometry support,ACCEPTED
source/third-party/compuway/rear.jpg,technical-render,Huawei 1288H V5,rear elevation,"three-slot; optional LOM installed; FlexIO blank; dual AC","Inspected; shared rear geometry/material; optional LOM rejected for requested state",rear support,ACCEPTED_SUPPORT_ONLY
source/third-party/mydraw/mydraw-rear-3io.png,technical-render,Huawei 1288H V5,rear elevation,"three separate upper slot covers; empty optional lower areas; dual AC","Inspected at original and nearest-neighbor enlargement; matches requested silhouette",rear configuration binding,ACCEPTED
source/third-party/mydraw/mydraw-rear-2io.png,technical-render,Huawei 1288H V5,rear elevation,2-I/O contrast,"Inspected; different upper slot-cover structure; incompatible with requested thumbnail",variant contrast,REJECTED_FOR_MODEL
source/third-party/uonel/02312DFL-H12H-05-S10AFF-10SFF.jpg,marketing-photo,Huawei 1288H V5 H12H-05-S10AFF,front-left,10SFF,"Inspected; independent exact 10SFF two-by-five facade and Huawei/model ears; low resolution/strong perspective",front cross-check,ACCEPTED_SUPPORT_ONLY
source/originals/official-gallery/1288H-V5_01.png,official-render,Huawei 1288H V5,front elevation,8SFF,"Inspected; transparent black canvas; 8SFF/DVD/VGA front incompatible",branding/material contrast,REJECTED_FOR_FRONT
source/originals/official-gallery/1288H-V5_02.png,official-render,Huawei 1288H V5,front-left,8SFF shared 708mm chassis,"Inspected; proves physical-left side fastener/slot pattern and front ear; front rejected",left geometry support,ACCEPTED_SUPPORT_ONLY
source/originals/official-gallery/1288H-V5_03.png,official-render,Huawei 1288H V5,front-right,8SFF shared 708mm chassis,"Inspected; proves distinct physical-right side pattern and model ear; front rejected",right geometry support,ACCEPTED_SUPPORT_ONLY
source/originals/official-gallery/1288H-V5_04.png,official-render,Huawei 1288H V5,front-top,8SFF shared chassis,"Inspected; top cover/latch/vent/material corroboration; front rejected",top support,ACCEPTED_SUPPORT_ONLY
source/originals/official-gallery/1288H-V5_05.png,official-render,Huawei 1288H V5,rear elevation,"three-slot; installed optical LOM; FlexIO blank; dual AC","Inspected; high-resolution rear geometry and PSU source; optional optical LOM rejected",rear support,ACCEPTED_SUPPORT_ONLY
qa/reference/xfusion-viewer-default.png,official-render-screenshot,xFusion/Huawei 1288H V5,front-top,8SFF public viewer,"Inspected; interactive public model loads; default 8SFF incompatible; chassis/top shared",official-model availability proof,ACCEPTED_SUPPORT_ONLY
qa/reference/xfusion-viewer-side-a.png,official-render-screenshot,xFusion/Huawei 1288H V5,full side A,8SFF shared 708mm chassis,"Inspected; full-length side shell and fastener sequence visible; front variant ignored",left/right geometry support,ACCEPTED_SUPPORT_ONLY
qa/reference/xfusion-viewer-side-b.png,official-render-screenshot,xFusion/Huawei 1288H V5,full side B,8SFF shared 708mm chassis,"Inspected; opposite side is not mirrored and has different endpoint/fasteners; front ignored",left/right geometry support,ACCEPTED_SUPPORT_ONLY
qa/reference/xfusion-viewer-top.png,official-render-screenshot,xFusion/Huawei 1288H V5,high top angle,8SFF shared 708mm chassis,"Inspected; shared cover contours/latch/vent bands; exact 10SFF real photos outrank it",top support,ACCEPTED_SUPPORT_ONLY
qa/reference/xfusion-viewer-bottom.png,official-render-screenshot,xFusion/Huawei 1288H V5,underside angle,8SFF shared 708mm chassis,"Inspected; closest same-model underside lead; dark conservative plate; not exact 10SFF proof",bottom fallback primary,ACCEPTED_FALLBACK_ONLY
source/optional-3d/xfusion-1288hv5-viewer/res/model/1288_b.jpg,official-3d-atlas,xFusion/Huawei 1288H V5,UV atlas,8SFF viewer,"Inspected at original detail; includes shared top cover and internals; not a face texture and not copied",optional geometry/material reference,ACCEPTED_SUPPORT_ONLY
source/optional-3d/xfusion-1288hv5-viewer/res/model/1288h_a.jpg,official-3d-atlas,xFusion/Huawei 1288H V5,UV atlas,8SFF viewer,"Inspected; atlas exposes incompatible 8SFF front and installed optional rear ports; not copied",variant contrast,REJECTED_AS_MAIN
source/optional-3d/xfusion-1288hv5-viewer/res/model/1288h_v5_e.jpg,official-3d-atlas,xFusion/Huawei 1288H V5,UV atlas,shared chassis,"Inspected; side/rail/cover material fragments only; not copied",optional geometry/material reference,ACCEPTED_SUPPORT_ONLY
source/optional-3d/xfusion-1288hv5-viewer/res/model/1288_d.jpg,official-3d-atlas,xFusion/Huawei 1288H V5,UV atlas,internal,"Inspected; heatsink/DIMM material only; no exterior use",not used,ACCEPTED_SUPPORT_ONLY
source/optional-3d/xfusion-1288hv5-viewer/res/model/1288_c.jpg,official-3d-atlas,xFusion/Huawei 1288H V5,UV atlas,mainboard/rear ports,"Inspected; optional geometry reference only; not copied",optional support,ACCEPTED_SUPPORT_ONLY
source/optional-3d/xfusion-1288hv5-viewer/res/model/wk.jpg,official-3d-atlas,xFusion/Huawei 1288H V5,UV atlas,FlexIO/internal,"Inspected; no direct exterior use",not used,ACCEPTED_SUPPORT_ONLY
