face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,review_index,review_status,standard_named_geometry_matches,web_named_geometry_matches,matched_camera_evidence,verification,review_notes
front,slot numbers,16,1,16,0-15,small,above carrier row,flush label,white on black,Dell official render and exact photos,verified,16,PASS_EXACT,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,Intel badge,1,1,1,none,small,lower-right ear,flush label,blue/silver,exact front photos,verified,17,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,half-height PCIe blank covers,3,3,1,slots 1 then 2 then 3 top-to-bottom,short wide,left upper,individual shallow raised vented covers,galvanized silver with black vent slots,Dell Figure 5 and exact rear photo,verified,18,PASS_EXACT,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,riser 2 blank covers,2,2,1,slot 4 then 5 top-to-bottom,wide,upper middle-left,individual shallow raised vented covers,galvanized silver with black vent slots,Dell Figure 5 and exact rear photo,verified,19,PASS_EXACT,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,riser 3 blank covers,2,2,1,slot 6 then 7 top-to-bottom,wide,upper middle-right,individual shallow raised vented covers,galvanized silver with black vent slots,Dell Figure 5 and exact rear photo,verified,20,PASS_EXACT,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,PCIe slot number legends,7,3 groups,7,1-3/4-5/6-7,small,beside each blank group,flush black print,black on silver,Dell Figure 5 and exact rear photo,verified,21,PASS_EXACT,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,upper-right chassis grille,1,1,1,none,medium,upper-right above PSUs,real perforated depth,silver square-hole grille,Dell Figure 5 and exact rear photo,verified,22,PASS_EXACT,rear upper-right grille|rear upper-right grille source-photo skin|closed chassis body|rear grille opening 00-00|rear grille opening 00-01|rear grille opening 00-02|rear grille opening 00-03|rear grille opening 00-04|rear grille opening 00-05|rear grille opening 00-06|rear grille opening 00-07|rear grille opening 01-00,rear upper-right grille|rear upper-right grille source-photo skin|closed chassis body|rear grille opening 00-00|rear grille opening 00-01|rear grille opening 00-02|rear grille opening 00-03|rear grille opening 00-04|rear grille opening 00-05|rear grille opening 00-06|rear grille opening 00-07|rear grille opening 01-00,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,system ID button and status connector,2,1,2,button then connector,tiny,lower far left,recessed/raised,blue ring and black/silver,Dell owner's manual back-panel table and Figure 5,verified,23,PASS_EXACT,drive status LED 00|drive status LED 01|drive status LED 02|drive status LED 03|drive status LED 04|drive status LED 05|drive status LED 06|drive status LED 07|drive status LED 08|drive status LED 09|drive status LED 10|drive status LED 11,drive status LED 00|drive status LED 01|drive status LED 02|drive status LED 03|drive status LED 04|drive status LED 05|drive status LED 06|drive status LED 07|drive status LED 08|drive status LED 09|drive status LED 10|drive status LED 11,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,iDRAC8 Enterprise port,1,1,1,after ID controls,RJ45,lower-left,recessed port geometry,black with white iDRAC label,Dell owner's manual and Figure 5,verified,24,PASS_EXACT,rear iDRAC8 RJ45,rear iDRAC8 RJ45,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,serial connector,1,1,1,after iDRAC,DB9,lower-left,recessed port geometry,teal surround and dark connector,Dell owner's manual and Figure 5,verified,25,PASS_EXACT,rear DB9 serial,rear DB9 serial,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,VGA connector,1,1,1,after serial,DB15,lower-left,recessed port geometry,blue surround and dark connector,Dell owner's manual and Figure 5,verified,26,PASS_EXACT,front VGA recess|rear DB15 VGA,front VGA recess|rear DB15 VGA,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,USB 3.0 ports,2,2,1,upper then lower,small,lower center-left,recessed stacked geometry,black/silver,Dell owner's manual and Figure 5,verified,27,PASS_EXACT,front USB 1|front USB 2|rear USB 3.0 1|rear USB 3.0 2,front USB 1|front USB 2|rear USB 3.0 1|rear USB 3.0 2,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,four-port NDC,4,1,4,ports 1-4 left-to-right,medium,lower center,separate recessed RJ45 cavities,silver frames and black interiors,Dell Figure 5 and screenshot,verified,28,PASS_EXACT,rear NDC RJ45 1|rear NDC RJ45 2|rear NDC RJ45 3|rear NDC RJ45 4,rear NDC RJ45 1|rear NDC RJ45 2|rear NDC RJ45 3|rear NDC RJ45 4,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,PCIe card holder handle,1,1,1,none,long,below slots 4-5,projecting rounded bar,gloss black,Dell Figure 5 and exact photos,verified,29,PASS_EXACT,rear PCIe holder handle|rear PCIe handle source-photo skin|PSU 1 pull handle bottom|PSU 1 pull handle bridge|PSU 1 pull handle top|PSU 2 pull handle bottom|PSU 2 pull handle bridge|PSU 2 pull handle top|drive pull handle 00|drive pull handle 01|drive pull handle 02|drive pull handle 03,rear PCIe holder handle|rear PCIe handle source-photo skin|PSU 1 pull handle bottom|PSU 1 pull handle bridge|PSU 1 pull handle top|PSU 2 pull handle bottom|PSU 2 pull handle bridge|PSU 2 pull handle top|drive pull handle 00|drive pull handle 01|drive pull handle 02|drive pull handle 03,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,AC power-supply modules,2,1,2,PSU 1 then PSU 2,large,lower-right,separate removable blocks projecting behind body,galvanized shell with black fan/inlet and orange latch,Dell Figure 5; technical guide p58; exact EPP 750W photos,verified,30,PASS_EXACT,EPP 750W AC PSU 1|EPP 750W AC PSU 2|PSU 1 IEC C14 inlet|PSU 1 cooling fan|PSU 1 fan hub|PSU 1 pull handle bottom|PSU 1 pull handle bridge|PSU 1 pull handle top|PSU 1 source-photo skin|PSU 2 IEC C14 inlet|PSU 2 cooling fan|PSU 2 fan hub,EPP 750W AC PSU 1|EPP 750W AC PSU 2|PSU 1 IEC C14 inlet|PSU 1 cooling fan|PSU 1 fan hub|PSU 1 pull handle bottom|PSU 1 pull handle bridge|PSU 1 pull handle top|PSU 1 source-photo skin|PSU 2 IEC C14 inlet|PSU 2 cooling fan|PSU 2 fan hub,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,IEC C14 AC inlets,2,1,2,one at left of each PSU fan,medium,inside each PSU face,deep recessed port,black,Dell Figure 5 and exact 750W PSU photos,verified,31,PASS_EXACT,PSU 1 IEC C14 inlet|PSU 2 IEC C14 inlet,PSU 1 IEC C14 inlet|PSU 2 IEC C14 inlet,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,PSU orange release latches,2,1,2,one beside each inlet,small,inside each PSU face,protruding lever,Dell orange,Dell exact 750W photos,verified,32,PASS_EXACT,EPP 750W AC PSU 1|EPP 750W AC PSU 2|PSU 1 IEC C14 inlet|PSU 1 cooling fan|PSU 1 fan hub|PSU 1 pull handle bottom|PSU 1 pull handle bridge|PSU 1 pull handle top|PSU 1 source-photo skin|PSU 2 IEC C14 inlet|PSU 2 cooling fan|PSU 2 fan hub,EPP 750W AC PSU 1|EPP 750W AC PSU 2|PSU 1 IEC C14 inlet|PSU 1 cooling fan|PSU 1 fan hub|PSU 1 pull handle bottom|PSU 1 pull handle bridge|PSU 1 pull handle top|PSU 1 source-photo skin|PSU 2 IEC C14 inlet|PSU 2 cooling fan|PSU 2 fan hub,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,PSU cooling fan grilles,2,1,2,one per PSU,large,inside each PSU face,recessed circular fan with cross/handle relief,black fan with silver fasteners,Dell Figure 5 and exact photos,verified,33,PASS_EXACT,PSU 1 cooling fan|PSU 2 cooling fan|PSU 1 fan hub|PSU 2 fan hub|EPP 750W AC PSU 1|EPP 750W AC PSU 2|PSU 1 IEC C14 inlet|PSU 1 pull handle bottom|PSU 1 pull handle bridge|PSU 1 pull handle top|PSU 1 source-photo skin|PSU 2 IEC C14 inlet,PSU 1 cooling fan|PSU 2 cooling fan|PSU 1 fan hub|PSU 2 fan hub|EPP 750W AC PSU 1|EPP 750W AC PSU 2|PSU 1 IEC C14 inlet|PSU 1 pull handle bottom|PSU 1 pull handle bridge|PSU 1 pull handle top|PSU 1 source-photo skin|PSU 2 IEC C14 inlet,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
