face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,verification_method,evidence,expected_count_check,standard_status,web_status,residual_risk
front,iDRAC Direct Micro-AB and LED,2,2,1,port then LED,very small,right control strip lower,recessed port plus pin LED,black/white,https://dl.dell.com/content/manual23687584-dell-emc-poweredge-r7515-technical-specifications.pdf?language=en-us,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/front.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-000.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
front,front VGA DB15,1,1,1,rightmost,small,right edge,deep connector recess,blue pins/black surround,https://dl.dell.com/content/manual23687584-dell-emc-poweredge-r7515-technical-specifications.pdf?language=en-us,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/front.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-000.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
front,information tag handle,1,1,1,n/a,small,bottom-right under carriers,pull-tab relief,black with PowerEdge service marking,https://www.dell.com/support/manuals/en-us/poweredge-r7515/per7515_ism_pub/front-view-of-the-system,verified,source-locked OPAQUE texture; relief retained where physical,views/front.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-000.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,Riser 1B full-height slot blanks,2,2,1,slot 2 above slot 3,long horizontal,left upper half,recessed perforated removable plates,galvanized steel with dark perforations,https://dl.dell.com/content/guides/public/Html/per7515_ism_pub/images/GUID-53472C08-B972-4BA6-B248-36BCF3C6A1AF-low.jpg,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,central square perforated exhaust field,1,1,1,n/a,large,upper center,recessed through-grid relief,galvanized steel/dark voids,https://dl.dell.com/content/guides/public/Html/per7515_ism_pub/images/GUID-53472C08-B972-4BA6-B248-36BCF3C6A1AF-low.jpg,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,PCIe slot 4 and 5 blanking plates,2,1,2,slot 4 then slot 5,narrow vertical,center-right,deep vertical perforated plates,galvanized steel/dark holes,https://dl.dell.com/content/guides/public/Html/per7515_ism_pub/images/GUID-53472C08-B972-4BA6-B248-36BCF3C6A1AF-low.jpg,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,serial DB9,1,1,1,n/a,small,lower left I/O group,recessed connector,teal/blue pins and metal shell,https://www.dell.com/support/manuals/en-us/poweredge-r7515/per7515_ism_pub/rear-view-of-the-system,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,rear VGA DB15,1,1,1,n/a,small,below serial,recessed connector,blue pins and metal shell,https://www.dell.com/support/manuals/en-us/poweredge-r7515/per7515_ism_pub/rear-view-of-the-system,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,dedicated iDRAC RJ45,1,1,1,n/a,small,left I/O group,recessed jack,black with yellow/green LED points,https://www.dell.com/support/manuals/en-us/poweredge-r7515/per7515_ism_pub/rear-view-of-the-system,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,rear USB 3.0 Type-A ports,2,2,1,upper then lower,small,left I/O group,recessed jacks,blue interiors,https://dl.dell.com/content/manual23687584-dell-emc-poweredge-r7515-technical-specifications.pdf?language=en-us,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,onboard 1GbE RJ45 ports,2,2,1,Gb1 above Gb2,small,left I/O group,recessed jacks,black with LEDs,https://www.dell.com/support/manuals/en-us/poweredge-r7515/per7515_ism_pub/rear-view-of-the-system,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,optional LOM riser RJ45 ports,2,1,2,left then right,medium,lower center,recessed jacks in removable module,black/gold/green,https://www.dell.com/support/manuals/en-us/poweredge-r7515/per7515_ism_pub/rear-view-of-the-system,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,CMA status cable port and system ID button,2,1,2,port then button,tiny,far lower left,small recess/protrusion,black/silver,https://www.dell.com/support/manuals/en-us/poweredge-r7515/per7515_ism_pub/rear-view-of-the-system,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,hot-plug AC PSU assemblies,2,2,1,PSU1 above PSU2,large stacked,right edge,34.685 mm rear protrusion includes handles/receptacles,galvanized frame black IEC receptacle orange latch green EPP label,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.54_1.jpg,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,PSU circular fans,2,2,1,upper then lower,medium,right edge,fan recess behind four-screw guard,black fan and silver guard,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.54_1.jpg,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,PSU IEC AC inputs,2,2,1,upper then lower,medium,left half of each PSU,recessed black socket,black plastic,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.54_1.jpg,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
right,side sheet-metal panel,1,1,1,n/a,434? no; depth x height,physical right side,folded opaque surface,galvanized steel real grain,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.52_1.jpg,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/right.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-090.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
right,upper rail-slot stamping,1,1,1,n/a,long narrow,front half near top edge,recessed/protruding stamped channel,galvanized steel,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.52_1.jpg,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/right.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-090.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
right,circular bosses/holes/black plugs,12,irregular,irregular,as photographed,small,front-middle and rear-middle clusters,mixed shallow emboss/recess,galvanized steel/black,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.52_1.jpg,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/right.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-090.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 12 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
right,factory compliance labels,0,0,0,none,n/a,n/a,n/a,n/a,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.52_1.jpg,verified,source-locked OPAQUE texture; relief retained where physical,views/right.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-090.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 0 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
left,side sheet-metal panel,1,1,1,n/a,depth x height,physical left side,folded opaque surface,galvanized steel real grain,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.56_1.jpg,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/left.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-270.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
left,upper rail-slot stamping,1,1,1,n/a,long narrow,front half near top edge,recessed/protruding stamped channel,galvanized steel,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.56_1.jpg,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/left.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-270.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
left,factory compliance/service labels,3,1,3,white small then black certification then black warning/model,medium,rear half of side panel,thin adhered label relief,white/black labels including Dell PowerEdge R7515 identity,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.55_1.jpg,verified,source-locked OPAQUE texture; relief retained where physical,views/left.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-270.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 3 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
left,circular bosses/holes/black plugs,10,irregular,irregular,as photographed,small,front-middle and rear-middle clusters,mixed shallow emboss/recess,galvanized steel/black,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.56_1.jpg,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/left.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-270.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 10 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
top,front drive-backplane cover,1,1,1,n/a,front quarter width,front 23% of depth,raised stepped cover with stamped channels,galvanized steel,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.51_1.jpg,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/top.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-045.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
top,main removable system cover,1,1,1,n/a,large,rear 77% of depth,separate closed panel with edge seams,galvanized steel real grain,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.51_1.jpg,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/top.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-045.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
top,cover release latch,1,1,1,n/a,small,near center-front of main cover,raised black hinged latch,black metal/plastic,https://dl.dell.com/content/manual22344309-dell-poweredge-r7515-installation-and-service-manual.pdf?language=en-us,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/top.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-045.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
top,narrow ventilation rows,2,1,2,left and right,very long narrow,rear/top side edges,recessed perforation rows,galvanized steel/dark holes,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.51_1.jpg,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/top.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-045.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
top,factory instruction/service labels,3,1,3,black compliance then white diagram then orange warning/config,large/front group,drive-backplane cover,thin adhered labels,black white and orange,https://shop.bytestock.com/media/catalog/product/r/7/r7515_24_x_2.51_1.jpg,verified,source-locked OPAQUE texture; relief retained where physical,views/top.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-045.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-babylon-web.png,PASS — expected 3 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
bottom,conservative underside panel,1,1,1,n/a,434 x 647.07,entire bottom,flat opaque sheet with only proven folded perimeter,galvanized steel,source/bottom-search-log.md,bottom-fallback,controlled generic-bottom texture + closed-core geometry,views/bottom.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-045.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS_WITH_BOTTOM_FALLBACK,PASS_WITH_BOTTOM_FALLBACK,generic underside only
