path,source_url,authority,source_class,visual_origin,claimed_model,variant,face_or_angle,inspection_result,imagegen_role
source/third-party/techyparts-07.jpg,https://store.techyparts.com/products/dell-poweredge-c6400-24sff-4-node-c6420-dual-lga3647-h730p-x710-cto-2u-server,secondary,refurbisher,real-photograph,"C6420 sled","air-cooled",heatsink close-up,"real Dell EMC air-cooling material; no enclosure exterior face proof",material support only
source/third-party/techyparts-08.jpg,https://store.techyparts.com/products/dell-poweredge-c6400-24sff-4-node-c6420-dual-lga3647-h730p-x710-cto-2u-server,secondary,refurbisher,real-photograph,"C6420 sled","air-cooled",heatsink close-up,"internal CPU heatsink and memory; no enclosure exterior face proof",not used for face generation
source/third-party/techyparts-09.jpg,https://store.techyparts.com/products/dell-poweredge-c6400-24sff-4-node-c6420-dual-lga3647-h730p-x710-cto-2u-server,secondary,refurbisher,real-photograph,"C6420 sled","air-cooled",internal close-up,"dual heatsink/board area; no enclosure exterior face proof",not used for face generation
source/third-party/ebay-xbyte-01.jpg,https://www.ebay.com/itm/384577208062,secondary,certified-refurbisher,real-photograph,"C6400 + four C6420","24-SFF drive blanks",front-right/top,"exact closed chassis; clear top seams/labels and right silhouette; front blanks differ",supporting top/right
source/third-party/ebay-xbyte-02.jpg,https://www.ebay.com/itm/384577208062,secondary,certified-refurbisher,real-photograph,"C6400 + four C6420","closed top + default rear",top/rear,"exact closed chassis; main cover service diagram and rear PSU cover; strongest top/left-edge reconstruction source",PRIMARY top and left reconstruction
source/third-party/ebay-xbyte-03.jpg,https://www.ebay.com/itm/384577208062,secondary,certified-refurbisher,real-photograph,"C6400 + four C6420","closed chassis",right,"direct near-orthogonal right side; plain galvanized wall; independent rivet pattern; two rail slots; small rear-side part label",PRIMARY right identity/style
source/third-party/ebay-xbyte-04.jpg,https://www.ebay.com/itm/384577208062,secondary,certified-refurbisher,real-photograph,"C6400 + four C6420","default blank slots + 2x2000W AC",rear/top,"exact rear topology but 2000W PSU differs from selected 1600W; supporting port/cover geometry",supporting rear/top
source/third-party/ebay-xbyte-05.jpg,https://www.ebay.com/itm/384577208062,secondary,certified-refurbisher,real-photograph,"C6400","boxed",top/context,"chassis in shipping carton; obstruction and packaging make it unsuitable",not used
source/third-party/ebay-itinstock-01.jpg,https://www.ebay.co.uk/itm/204971395487,secondary,refurbisher,real-photograph,"C6400","empty drive cage",front/top,"exact control housings and top; no carriers installed",supporting chassis geometry
source/third-party/ebay-itinstock-02.jpg,https://www.ebay.co.uk/itm/204971395487,secondary,refurbisher,real-photograph,"C6400","empty drive cage",front/top,"exact top plates and empty cage; no requested carriers",supporting top geometry
source/third-party/ebay-itinstock-03.jpg,https://www.ebay.co.uk/itm/204971395487,secondary,refurbisher,real-photograph,"C6400 + four C6420","default slots + 2x2000W",rear,"straight default rear; excellent port order; PSU wattage differs",supporting rear geometry
source/third-party/ebay-itinstock-04.jpg,https://www.ebay.co.uk/itm/204971395487,secondary,refurbisher,real-photograph,"C6420 sled","open standalone",rear-right/top,"sled internals and frame; not complete delivery subject",supporting sled relief
source/third-party/ebay-itinstock-05.jpg,https://www.ebay.co.uk/itm/204971395487,secondary,refurbisher,real-photograph,"C6420 sled","open standalone",rear,"straight sled rear with some covers absent; not full assembly",supporting port anatomy
source/third-party/ebay-itinstock-06.jpg,https://www.ebay.co.uk/itm/204971395487,secondary,refurbisher,real-photograph,"C6420 sled","open standalone",rear-left/top,"sled internals and frame; not complete delivery subject",supporting sled relief
source/third-party/ebay-itinstock-07.jpg,https://www.ebay.co.uk/itm/204971395487,secondary,refurbisher,real-photograph,"C6420 sled","open standalone",front/internal,"midplane connector end; hidden when installed",not used for exterior
source/third-party/ebay-itinstock-08.jpg,https://www.ebay.co.uk/itm/204971395487,secondary,refurbisher,real-photograph,"C6420 sled","open standalone",top/internal,"orthographic internal board; hidden by enclosure cover",not used for exterior
source/third-party/ebay-bargainhardware-01.jpg,https://www.ebay.co.uk/itm/405204206396,secondary,authorized-refurbisher,real-photograph,"C6400","24 drive blanks",front/top,"exact chassis but drive fronts differ from carrier configuration",supporting front/top
source/third-party/ebay-bargainhardware-02.jpg,https://www.ebay.co.uk/itm/405204206396,secondary,authorized-refurbisher,real-photograph,"C6400 + two visible C6420","cover removed",top/internal,"open chassis; factory cover absent; proves chassis partitions/fans only",geometry support only
source/third-party/ebay-bargainhardware-03.jpg,https://www.ebay.co.uk/itm/405204206396,secondary,authorized-refurbisher,real-photograph,"C6400 + four C6420","default rear + 2x1600W",rear,"straight rear but seller barcode labels and some card blanks differ; validates 1600W module form",supporting rear
source/third-party/ebay-bargainhardware-04.jpg,https://www.ebay.co.uk/itm/405204206396,secondary,authorized-refurbisher,real-photograph,"C6400 + C6420","sleds partially removed/open",rear/top,"service state; not delivery appearance",geometry support only
source/third-party/ebay-bargainhardware-05.jpg,https://www.ebay.co.uk/itm/405204206396,secondary,authorized-refurbisher,real-photograph,"C6400 + C6420","sled removed",rear-right/top,"service state; clear right rear chassis edge",supporting right/left edge
source/third-party/ebay-bargainhardware-06.jpg,https://www.ebay.co.uk/itm/405204206396,secondary,authorized-refurbisher,real-photograph,"C6420 sled","open standalone",top/internal,"hidden internal board",not used for exterior
source/third-party/ebay-abacus-01.jpg,https://www.ebay.com/itm/126737099835,secondary,used-equipment,real-photograph,"C6400","partially populated carrier front",front/top,"warehouse background and missing carriers; confirms control panels/top proportions",supporting geometry only
source/third-party/ebay-abacus-02.jpg,https://www.ebay.com/itm/126737099835,secondary,used-equipment,real-photograph,"C6400","partially populated carrier front",front/top,"same exact system from elevated front; missing carriers",supporting top geometry
source/third-party/ebay-abacus-03.jpg,https://www.ebay.com/itm/126737099835,secondary,used-equipment,real-photograph,"C6400 + four C6420","2x2400W + add-in NIC",rear/top,"PSU wattage and visible NICs conflict with target; used only for chassis outline",not a binding face source
source/third-party/video-frames/xbyte-contact-sheet.jpg,https://www.youtube.com/watch?v=cHwOED4bQpE,secondary,video,real-video-frames,"C6400 + four C6420","24-SFF/closed then open service sequence",multi-angle contact sheet,"full 2m12s sampled every 4s; front/top/rear/internal views; no underside or orthogonal left",supporting top/side search evidence
source/third-party/video-frames/itcreations-contact-sheet-01.jpg,https://www.youtube.com/watch?v=7Uik0yhjZpE,secondary,video,real-video-frames,"C6400 + C6420","four-node air-cooled",0-300s contact sheet,"full first five minutes sampled every 10s; front/rear/top/sled views; no underside",supporting search evidence
source/third-party/video-frames/itcreations-contact-sheet-02.jpg,https://www.youtube.com/watch?v=7Uik0yhjZpE,secondary,video,real-video-frames,"C6400 + C6420","four-node air-cooled",300-543s contact sheet,"remaining video sampled every 10s; default rear and sled anatomy; no underside",supporting rear/search evidence
source/pdf-pages/dell-poweredge-c6400-installation-service-manual-page-006.png,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,official,manual,official-render,"C6400/C6420","supported configurations",open top diagram,"photo/render proves C6420 support and shared layout; annotations not texture source",assembly evidence
source/pdf-pages/dell-poweredge-c6400-installation-service-manual-page-007.png,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,official,manual,official-render,"C6400","24-SFF",front+control close-up,"exact front render and readable Dell EMC/C6400 panels; direct configuration authority",supporting front geometry/branding
source/pdf-pages/dell-poweredge-c6400-installation-service-manual-page-008.png,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,official,manual,technical-table,"C6400","control panels",front controls,"text/icon table proves control count and mapping",feature authority
source/pdf-pages/dell-poweredge-c6400-installation-service-manual-page-009.png,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,official,manual,official-render,"C6400 + four C6420","24-SFF + 2 PSU",rear+front mapping,"exact rear render and sled order; exact six-drive groups",supporting rear geometry
source/pdf-pages/dell-poweredge-c6400-installation-service-manual-page-010.png,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,official,manual,official-render,"C6400","24-SFF expander example",front-right/top,"top/front photo/render confirms cover seams and carrier appearance",supporting top/front
source/pdf-pages/dell-poweredge-c6400-installation-service-manual-page-020.png,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,official,manual,technical-diagram,"C6400","four-sled enumeration",rear diagrams,"proves slot order and blank-sled alternatives; target is all four occupied",assembly evidence
source/pdf-pages/dell-poweredge-c6400-installation-service-manual-page-032.png,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,official,manual,official-render,"C6400 PSU","2000W example",PSU three-quarter,"PSU body/handle geometry; wattage differs",supporting PSU geometry
source/pdf-pages/dell-poweredge-c6400-installation-service-manual-page-033.png,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,official,manual,official-render,"C6400","closed cover",front-right/top,"cover removal render proves independent panels/seams/three blue tabs",supporting top/side
source/pdf-pages/dell-poweredge-c6400-installation-service-manual-page-034.png,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,official,manual,official-render,"C6400","closed cover",front-right/top,"cover install render repeats exact panel appearance",supporting top/side
source/pdf-pages/dell-poweredge-c6400-installation-service-manual-page-035.png,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,official,manual,official-render,"C6400","backplane cover removed",front-right/top,"service state shows front cover separation and right wall edge",supporting side/top
source/pdf-pages/dell-poweredge-c6400-technical-specifications-page-004.png,https://dl.dell.com/topicspdf/poweredge-c6400_Owners-Manual2_en-us.pdf,official,specification,technical-diagram,"C6400","generic installed assembly",top+side dimension diagram,"binding dimension inclusion diagram; not color/style evidence",PRIMARY bottom ratio only
source/pdf-pages/dell-poweredge-c6400-technical-specifications-page-005.png,https://dl.dell.com/topicspdf/poweredge-c6400_Owners-Manual2_en-us.pdf,official,specification,technical-table,"C6400 + C6420","24-SFF",dimensions/PSU table,"binding numeric dimensions and two-AC-PSU statement",dimension authority
source/pdf-pages/dell-poweredge-c6400-technical-specifications-page-006.png,https://dl.dell.com/topicspdf/poweredge-c6400_Owners-Manual2_en-us.pdf,official,specification,official-photo+table,"C6400","24-SFF",internal board/table,"supports six drives per sled and AC options; not exterior texture",configuration evidence
source/pdf-pages/dell-poweredge-c6400-c6420-technical-guide-page-013.png,https://i.dell.com/sites/csdocuments/Product_Docs/en/poweredge-c6400-c6420-technical-guide.pdf,official,technical-guide,official-render,"C6400","24-SFF",front,"exact official front and 24-carrier appearance",supporting front geometry
source/pdf-pages/dell-poweredge-c6400-c6420-technical-guide-page-014.png,https://i.dell.com/sites/csdocuments/Product_Docs/en/poweredge-c6400-c6420-technical-guide.pdf,official,technical-guide,official-render,"C6400/C6420","four-sled + default sled rear",rear/sled close-up,"proves sled order and 12 labeled rear features",supporting rear geometry
source/pdf-pages/dell-poweredge-c6400-c6420-technical-guide-page-015.png,https://i.dell.com/sites/csdocuments/Product_Docs/en/poweredge-c6400-c6420-technical-guide.pdf,official,technical-guide,technical-table,"C6420","default rear",rear port table,"proves port names/functions and count",feature authority
source/pdf-pages/dell-poweredge-c6400-c6420-technical-guide-page-016.png,https://i.dell.com/sites/csdocuments/Product_Docs/en/poweredge-c6400-c6420-technical-guide.pdf,official,technical-guide,technical-text,"C6400","top QRL",text,"proves top QRL/service information location; no new face image",label evidence
